hashtag,candidate_rows,unique_posts,rows_with_caption,unique_accounts_hashed,min_date_utc,max_date_utc
calatuent,200,200,200,118,2015-07-16T06:45:59+00:00,2026-06-19T08:00:53+00:00
consciousliving,200,200,198,183,2026-02-23T13:56:10+00:00,2026-06-19T16:45:02+00:00
ecoretreat,200,200,200,143,2019-08-17T20:49:13+00:00,2026-06-19T16:26:31+00:00
fincahigo,42,42,42,6,2024-12-27T18:43:23+00:00,2026-03-25T16:49:38+00:00
mallorcahotel,200,200,198,113,2018-10-12T03:16:59+00:00,2026-06-19T16:43:07+00:00
mallorcaretreat,200,200,193,125,2020-08-12T08:09:37+00:00,2026-06-19T12:00:07+00:00
mallorcayogaretreat,200,200,190,111,2018-04-23T12:00:35+00:00,2026-06-18T15:57:21+00:00
mindfulness,200,200,196,174,2026-06-04T07:29:52+00:00,2026-06-19T16:49:42+00:00
retreatcenter,200,200,194,146,2016-11-21T22:32:06+00:00,2026-06-19T16:34:30+00:00
retreatlife,200,200,200,188,2020-10-11T11:27:41+00:00,2026-06-19T15:55:06+00:00
retreatmallorca,200,200,193,115,2018-04-16T15:41:26+00:00,2026-06-18T10:21:43+00:00
sacalobra,200,200,198,171,2019-10-07T17:00:21+00:00,2026-06-19T11:33:51+00:00
wellnessretreat,200,200,200,190,2025-07-14T17:32:49+00:00,2026-06-19T16:33:26+00:00
yogamallorca,200,200,200,111,2017-11-01T16:49:43+00:00,2026-06-19T15:12:43+00:00
yogaretreat,200,200,200,179,2025-06-05T15:31:59+00:00,2026-06-19T16:40:10+00:00
yogaretreatsworldwide,200,200,185,110,2016-06-28T17:26:42+00:00,2026-06-19T14:58:31+00:00
